Geo_FIPS,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_PUMA5,Geo_GEO_ID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A14001_001,SE_A14001_002,SE_A14001_003,SE_A14001_004,SE_A14001_005,SE_A14001_006,SE_A14001_007,SE_A14001_008,SE_A14001_009,SE_A14001_010,SE_A14001_011,SE_A14001_012,SE_A14001_013,SE_A14001_014,SE_A14001_015,SE_A14001_016,SE_A14001_017,PCT_SE_A14001_002,PCT_SE_A14001_003,PCT_SE_A14001_004,PCT_SE_A14001_005,PCT_SE_A14001_006,PCT_SE_A14001_007,PCT_SE_A14001_008,PCT_SE_A14001_009,PCT_SE_A14001_010,PCT_SE_A14001_011,PCT_SE_A14001_012,PCT_SE_A14001_013,PCT_SE_A14001_014,PCT_SE_A14001_015,PCT_SE_A14001_016,PCT_SE_A14001_017
"06037199202","Census Tract 1992.02, Los Angeles County, California","ca","140","00",,,,"06","037",,,"199202",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037199202","Census Tract 1992.02",,,,893,11,151,0,5,14,8,48,24,34,43,46,74,118,114,85,118,1.23,16.91,0,0.56,1.57,0.9,5.38,2.69,3.81,4.82,5.15,8.29,13.21,12.77,9.52,13.21
"06037199300","Census Tract 1993, Los Angeles County, California","ca","140","00",,,,"06","037",,,"199300",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037199300","Census Tract 1993",,,,1317,67,46,4,19,60,54,13,66,60,16,58,104,166,194,39,351,5.09,3.49,0.3,1.44,4.56,4.1,0.99,5.01,4.56,1.21,4.4,7.9,12.6,14.73,2.96,26.65
"06037199400","Census Tract 1994, Los Angeles County, California","ca","140","00",,,,"06","037",,,"199400",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037199400","Census Tract 1994",,,,1501,157,76,28,112,63,57,117,80,19,109,194,26,51,80,231,101,10.46,5.06,1.87,7.46,4.2,3.8,7.79,5.33,1.27,7.26,12.92,1.73,3.4,5.33,15.39,6.73
"06037199700","Census Tract 1997, Los Angeles County, California","ca","140","00",,,,"06","037",,,"199700",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037199700","Census Tract 1997",,,,1268,0,60,141,59,95,40,42,116,34,118,128,147,60,69,49,110,0,4.73,11.12,4.65,7.49,3.15,3.31,9.15,2.68,9.31,10.09,11.59,4.73,5.44,3.86,8.68
"06037199801","Census Tract 1998.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"199801",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037199801","Census Tract 1998.01",,,,897,44,41,7,25,45,64,26,51,25,34,110,69,115,71,73,97,4.91,4.57,0.78,2.79,5.02,7.13,2.9,5.69,2.79,3.79,12.26,7.69,12.82,7.92,8.14,10.81
"06037199802","Census Tract 1998.02, Los Angeles County, California","ca","140","00",,,,"06","037",,,"199802",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037199802","Census Tract 1998.02",,,,595,33,35,19,44,9,14,12,33,39,62,89,79,41,35,31,20,5.55,5.88,3.19,7.39,1.51,2.35,2.02,5.55,6.55,10.42,14.96,13.28,6.89,5.88,5.21,3.36
"06037199900","Census Tract 1999, Los Angeles County, California","ca","140","00",,,,"06","037",,,"199900",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037199900","Census Tract 1999",,,,879,30,187,38,52,13,35,67,58,22,13,60,86,87,32,19,80,3.41,21.27,4.32,5.92,1.48,3.98,7.62,6.6,2.5,1.48,6.83,9.78,9.9,3.64,2.16,9.1
"06037201110","Census Tract 2011.10, Los Angeles County, California","ca","140","00",,,,"06","037",,,"201110",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037201110","Census Tract 2011.10",,,,755,7,14,18,27,5,43,28,23,10,61,66,111,101,28,86,127,0.93,1.85,2.38,3.58,0.66,5.7,3.71,3.05,1.32,8.08,8.74,14.7,13.38,3.71,11.39,16.82
"06037201120","Census Tract 2011.20, Los Angeles County, California","ca","140","00",,,,"06","037",,,"201120",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037201120","Census Tract 2011.20",,,,1306,49,89,18,78,25,13,61,27,0,28,150,205,84,144,216,119,3.75,6.81,1.38,5.97,1.91,1,4.67,2.07,0,2.14,11.49,15.7,6.43,11.03,16.54,9.11
"06037201200","Census Tract 2012, Los Angeles County, California","ca","140","00",,,,"06","037",,,"201200",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037201200","Census Tract 2012",,,,765,66,0,30,9,50,0,9,16,10,26,93,85,136,26,122,87,8.63,0,3.92,1.18,6.54,0,1.18,2.09,1.31,3.4,12.16,11.11,17.78,3.4,15.95,11.37
"06037201301","Census Tract 2013.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"201301",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037201301","Census Tract 2013.01",,,,1073,112,72,55,27,0,5,65,31,0,0,21,149,88,35,186,227,10.44,6.71,5.13,2.52,0,0.47,6.06,2.89,0,0,1.96,13.89,8.2,3.26,17.33,21.16
"06037201302","Census Tract 2013.02, Los Angeles County, California","ca","140","00",,,,"06","037",,,"201302",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037201302","Census Tract 2013.02",,,,1951,37,122,7,24,21,39,45,30,6,80,152,278,315,203,289,303,1.9,6.25,0.36,1.23,1.08,2,2.31,1.54,0.31,4.1,7.79,14.25,16.15,10.4,14.81,15.53
"06037201401","Census Tract 2014.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"201401",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037201401","Census Tract 2014.01",,,,1321,108,57,100,141,25,71,47,0,32,111,70,186,87,49,154,83,8.18,4.31,7.57,10.67,1.89,5.37,3.56,0,2.42,8.4,5.3,14.08,6.59,3.71,11.66,6.28
"06037201402","Census Tract 2014.02, Los Angeles County, California","ca","140","00",,,,"06","037",,,"201402",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037201402","Census Tract 2014.02",,,,1398,51,28,39,131,6,35,18,14,73,13,276,99,223,82,114,196,3.65,2,2.79,9.37,0.43,2.5,1.29,1,5.22,0.93,19.74,7.08,15.95,5.87,8.15,14.02
